StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,pred_1,pred_2,pred_3,pred_4,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,UID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please rate your agreement with the following statements, with ""Strongly disagree"" being on the far left and ""Strongly agree"" being on the far right. Please be honest and thoughtful with your response. - When I make mistakes, I am able to forgive myself without much effort.","Please rate your agreement with the following statements, with ""Strongly disagree"" being on the far left and ""Strongly agree"" being on the far right. Please be honest and thoughtful with your response. - I notice when I'm starting to feel negatively about myself and challenge those thoughts.","Please rate your agreement with the following statements, with ""Strongly disagree"" being on the far left and ""Strongly agree"" being on the far right. Please be honest and thoughtful with your response. - I feel like I have far more imperfections than others.","Please rate your agreement with the following statements, with ""Strongly disagree"" being on the far left and ""Strongly agree"" being on the far right. Please be honest and thoughtful with your response. - I am patient with myself when something bad happens.","Below are five statements that you may agree or disagree with. Using the 1-7 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding. - In most ways, my life is close to ideal.","Below are five statements that you may agree or disagree with. Using the 1-7 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding. - The conditions of my life are excellent.","Below are five statements that you may agree or disagree with. Using the 1-7 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding. - I am satisfied with my life.","Below are five statements that you may agree or disagree with. Using the 1-7 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding. - So far I have gotten the important things I want in life.","Below are five statements that you may agree or disagree with. Using the 1-7 scale below, indicate your agreement with each item by placing the appropriate number on the line preceding that item. Please be open and honest in your responding. - If I could live my life over, I would change almost nothing.",Please enter your FULL UID below. (This will be utilized for participation purposes only.)
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID3_TEXT""}"
9/26/2023 2:01,9/26/2023 2:01,0,100.36.64.176,100,26,1,9/26/2023 2:01,R_uqr8fUr40QoyI3D,,,,,39.1181,-76.8396,anonymous,EN,4,3,4,4,6,7,6,6,6,12345678
9/26/2023 14:40,9/26/2023 14:44,0,129.2.192.252,100,203,1,9/26/2023 14:44,R_2qkfKYEFBCnGTPU,,,,,38.9965,-76.934,anonymous,EN,1,4,4,2,5,4,5,6,2,12345678
9/26/2023 15:54,9/26/2023 15:56,0,129.2.192.2,100,160,1,9/26/2023 15:56,R_2Tvjxb9m7xBomn9,,,,,38.9965,-76.934,anonymous,EN,2,4,3,3,5,6,5,5,4,12345678
9/26/2023 16:44,9/26/2023 16:47,0,129.2.192.62,100,212,1,9/26/2023 16:47,R_1OBqttlQpK7INUS,,,,,38.9965,-76.934,anonymous,EN,2,3,2,2,5,5,6,7,6,12345678
9/26/2023 20:38,9/26/2023 20:44,0,24.104.71.67,100,401,1,9/26/2023 20:44,R_1GBOOVga1KUrIC6,,,,,38.9965,-76.934,anonymous,EN,3,2,1,2,6,7,7,6,5,12345678
9/27/2023 12:53,9/27/2023 12:55,0,129.2.192.86,100,116,1,9/27/2023 12:55,R_DMnluRaLIsLwRjz,,,,,38.9965,-76.934,anonymous,EN,3,4,3,2,2,3,4,5,1,12345678
9/28/2023 11:10,9/28/2023 11:11,0,166.198.21.15,100,55,1,9/28/2023 11:11,R_1ewK7BgR6cYdNkG,,,,,38.894,-77.0365,anonymous,EN,3,4,5,3,4,5,5,4,4,12345678
9/28/2023 12:56,9/28/2023 12:57,0,108.31.53.80,100,54,1,9/28/2023 12:57,R_2WujzvNFqr4rkXK,,,,,38.9489,-76.9352,anonymous,EN,2,4,2,3,2,5,5,2,2,12345678
9/28/2023 16:14,9/28/2023 16:15,0,108.28.185.5,100,51,1,9/28/2023 16:15,R_1jsav7AURdQBO8T,,,,,38.9816,-77.0044,anonymous,EN,3,4,2,4,5,4,6,6,3,12345678
9/28/2023 16:18,9/28/2023 16:21,0,207.53.202.119,100,209,1,9/28/2023 16:21,R_2bIC02BhEbvCAb9,,,,,39.5693,-76.9869,anonymous,EN,2,4,3,3,4,3,2,2,2,12345678
9/28/2023 17:32,9/28/2023 17:33,0,52.124.40.73,100,99,1,9/28/2023 17:33,R_u8P7rOatBgadw09,,,,,38.9965,-76.934,anonymous,EN,2,4,2,5,7,7,7,7,7,12345678
9/29/2023 0:22,9/29/2023 0:24,0,73.212.225.20,100,91,1,9/29/2023 0:24,R_1o57ysCOpUGtSQC,,,,,39.1063,-76.866,anonymous,EN,2,4,3,4,6,6,6,5,4,12345678
9/29/2023 1:07,9/29/2023 1:10,0,15.181.177.221,100,181,1,9/29/2023 1:10,R_qDSPzpk8E242FAR,,,,,41.8874,-87.6318,anonymous,EN,2,5,5,2,4,5,2,3,2,12345678
9/29/2023 5:39,9/29/2023 5:40,0,129.2.192.45,100,88,1,9/29/2023 5:40,R_3ltpBzrVuNm4fhk,,,,,38.994,-76.9519,anonymous,EN,1,4,4,3,2,3,2,5,1,12345678
9/29/2023 13:58,9/29/2023 13:59,0,129.2.192.234,100,68,1,9/29/2023 13:59,R_3MnFNgP2eXXcFCk,,,,,38.994,-76.9519,anonymous,EN,1,3,5,2,5,4,4,5,3,12345678
9/26/2023 1:57,9/26/2023 2:01,0,100.36.64.176,20,186,0,10/3/2023 2:01,R_10pck7bvjNe6XMO,,,,,,,anonymous,EN,,,,,,,,,,
9/26/2023 2:55,9/26/2023 2:55,0,100.36.64.176,20,5,0,10/3/2023 2:55,R_23esE2yweEib8bx,,,,,,,anonymous,EN,,,,,,,,,,
9/26/2023 21:45,9/26/2023 21:45,0,129.2.192.158,20,5,0,10/3/2023 21:45,R_1zslX5g9PPMJRWF,,,,,,,anonymous,EN,,,,,,,,,,
